gene	driver_citations	oncogene_citations	tumor_suppressor_citations	all_citations
MARK2	1	86	0	87
HGF	6	59	0	65
LOX	3	9	13	25
IRF1	1	2	18	21
KLF5	0	11	9	20
SMARCA1	3	0	15	18
EPHA2	1	16	0	17
MAP2K7	7	7	2	16
USP9X	0	10	5	15
BRD7	0	1	13	14
FOXA2	0	2	12	14
ING1	0	1	13	14
RELA	2	9	2	13
RBM38	0	4	8	12
TRAF3	0	1	9	10
RIPK1	2	7	0	9
SOX17	1	1	7	9
SATB1	1	7	0	8
TCF4	1	4	3	8
TOP2A	1	7	0	8
KDM3B	1	0	6	7
RNF6	0	5	2	7
SUSD2	0	1	5	6
DHX9	0	5	0	5
DIS3	1	1	3	5
DOT1L	3	2	0	5
DTX1	0	3	2	5
AJUBA	0	1	3	4
FBLN1	0	0	4	4
NEFH	0	0	4	4
PTPN14	0	0	4	4
RASA1	0	1	3	4
RRAS2	0	4	0	4
ARHGAP35	0	2	1	3
KLHL6	0	1	2	3
SIN3A	0	1	2	3
SOHLH2	0	0	3	3
ATG7	1	1	0	2
DAZAP1	0	1	1	2
EGR2	0	1	1	2
EHD2	0	0	2	2
FN1	0	2	0	2
IKZF3	1	1	0	2
KMT2B	0	1	1	2
MEF2B	0	2	0	2
NFKBIA	0	0	2	2
NPRL2	0	0	2	2
PAK2	0	2	0	2
PARP4	0	0	2	2
PRR14	0	2	0	2
SOS1	0	2	0	2
TFAP4	0	2	0	2
TGIF1	0	1	1	2
ZFP36L1	0	0	2	2
ATF7IP	1	0	0	1
BMPR2	0	1	0	1
CD58	0	0	1	1
CNOT9	0	1	0	1
ESRRA	0	1	0	1
HLA-B	0	1	0	1
INO80	0	1	0	1
IRAK1	0	1	0	1
LDB1	0	1	0	1
NRP1	0	0	1	1
POU2F2	0	0	1	1
PRKCD	0	1	0	1
RASA2	0	0	1	1
RBM39	0	1	0	1
RPS6KA3	1	0	0	1
RXRA	1	0	0	1
U2AF2	0	1	0	1
ZBTB7B	0	1	0	1
